Rk,Player,From,To,Tm,Lg,Count
1,Kareem Abdul-Jabbar\abdulka01,1970,1989,TOT,NBA,19
2,Kobe Bryant\bryanko01,1998,2016,LAL,NBA,18
3,Tim Duncan\duncati01,1998,2015,SAS,NBA,15
4,Kevin Garnett\garneke01,1997,2013,TOT,NBA,15
5,Shaquille O'Neal\onealsh01,1993,2009,TOT,NBA,15
6,LeBron James\jamesle01,2005,2018,TOT,NBA,14
7,Michael Jordan\jordami01,1985,2003,TOT,NBA,14
8,Karl Malone\malonka01,1988,2002,UTA,NBA,14
9,Jerry West\westje01,1961,1974,LAL,NBA,14
10,Wilt Chamberlain\chambwi01,1960,1973,TOT,NBA,13
11,Bob Cousy\cousybo01,1951,1963,BOS,NBA,13
12,John Havlicek\havlijo01,1966,1978,BOS,NBA,13
13,Dirk Nowitzki\nowitdi01,2002,2015,DAL,NBA,13
14,Larry Bird\birdla01,1980,1992,BOS,NBA,12
15,Elvin Hayes\hayesel01,1969,1980,TOT,NBA,12
16,Moses Malone\malonmo01,1978,1989,TOT,NBA,12
17,Hakeem Olajuwon\olajuha01,1985,1997,HOU,NBA,12
18,Oscar Robertson\roberos01,1961,1972,TOT,NBA,12
19,Bill Russell\russebi01,1958,1969,BOS,NBA,12
20,Dolph Schayes\schaydo01,1951,1962,SYR,NBA,12
21,Isiah Thomas\thomais01,1982,1993,DET,NBA,12
22,Dwyane Wade\wadedw01,2005,2016,MIA,NBA,12
23,Charles Barkley\barklch01,1987,1997,TOT,NBA,11
24,Elgin Baylor\bayloel01,1959,1970,TOT,NBA,11
25,Chris Bosh\boshch01,2006,2016,TOT,NBA,11
26,Julius Erving\ervinju01,1977,1987,PHI,NBA,11
27,Patrick Ewing\ewingpa01,1986,1997,NYK,NBA,11
28,Allen Iverson\iversal01,2000,2010,TOT,NBA,11
29,Magic Johnson\johnsma02,1980,1991,LAL,NBA,11
30,Bob Pettit\pettibo01,1955,1965,TOT,NBA,11
31,Ray Allen\allenra02,2000,2011,TOT,NBA,10
32,Carmelo Anthony\anthoca01,2007,2017,TOT,NBA,10
33,Paul Arizin\arizipa01,1951,1962,PHW,NBA,10
34,Clyde Drexler\drexlcl01,1986,1997,TOT,NBA,10
35,Hal Greer\greerha01,1961,1970,TOT,NBA,10
36,Jason Kidd\kiddja01,1996,2010,TOT,NBA,10
37,Paul Pierce\piercpa01,2002,2012,BOS,NBA,10
38,David Robinson\robinda01,1990,2001,SAS,NBA,10
39,John Stockton\stockjo01,1989,2000,UTA,NBA,10
40,Kevin Durant\duranke01,2010,2018,TOT,NBA,9
41,George Gervin\gervige01,1977,1985,SAS,NBA,9
42,Robert Parish\parisro01,1981,1991,BOS,NBA,9
43,Chris Paul\paulch01,2008,2016,TOT,NBA,9
44,Gary Payton\paytoga01,1994,2003,TOT,NBA,9
45,Lenny Wilkens\wilkele01,1963,1973,TOT,NBA,9
46,Dominique Wilkins\wilkido01,1986,1994,TOT,NBA,9
47,Rick Barry\barryri01,1966,1978,TOT,NBA,8
48,Vince Carter\cartevi01,2000,2007,TOT,NBA,8
49,Dave Cowens\cowenda01,1972,1980,BOS,NBA,8
50,Dave DeBusschere\debusda01,1966,1974,TOT,NBA,8
51,Alex English\englial01,1982,1989,DEN,NBA,8
52,Larry Foust\foustla01,1951,1959,TOT,NBA,8
53,Dwight Howard\howardw01,2007,2014,TOT,NBA,8
54,Bob Lanier\laniebo01,1972,1982,TOT,NBA,8
55,Yao Ming\mingya01,2003,2011,HOU,NBA,8
56,Dikembe Mutombo\mutomdi01,1992,2002,TOT,NBA,8
57,Steve Nash\nashst01,2002,2012,TOT,NBA,8
58,Bill Sharman\sharmbi01,1953,1960,BOS,NBA,8
59,Dave Bing\bingda01,1968,1976,TOT,NBA,7
60,Walt Frazier\fraziwa01,1970,1976,NYK,NBA,7
61,Harry Gallatin\gallaha01,1951,1957,NYK,NBA,7
62,Grant Hill\hillgr01,1995,2005,TOT,NBA,7
63,Joe Johnson\johnsjo02,2007,2014,TOT,NBA,7
64,Jerry Lucas\lucasje01,1964,1971,TOT,NBA,7
65,Ed Macauley\macaued01,1951,1957,TOT,NBA,7
66,Slater Martin\martisl01,1953,1959,TOT,NBA,7
67,Tracy McGrady\mcgratr01,2001,2007,TOT,NBA,7
68,Dick McGuire\mcguidi01,1951,1959,TOT,NBA,7
69,Kevin McHale\mchalke01,1984,1991,BOS,NBA,7
70,Alonzo Mourning\mournal01,1994,2002,TOT,NBA,7
71,Scottie Pippen\pippesc01,1990,1997,CHI,NBA,7
72,Willis Reed\reedwi01,1965,1971,NYK,NBA,7
73,Jack Sikma\sikmaja01,1979,1985,SEA,NBA,7
74,Nate Thurmond\thurmna01,1965,1974,TOT,NBA,7
75,Chet Walker\walkech01,1964,1974,TOT,NBA,7
76,Russell Westbrook\westbru01,2011,2018,OKC,NBA,7
77,Jo Jo White\whitejo01,1971,1977,BOS,NBA,7
78,James Worthy\worthja01,1986,1992,LAL,NBA,7
79,LaMarcus Aldridge\aldrila01,2012,2018,TOT,NBA,6
80,Tiny Archibald\architi01,1973,1982,TOT,NBA,6
81,Larry Costello\costela01,1958,1965,TOT,NBA,6
82,Adrian Dantley\dantlad01,1980,1986,UTA,NBA,6
83,Walter Davis\daviswa03,1978,1987,PHO,NBA,6
84,Joe Dumars\dumarjo01,1990,1997,DET,NBA,6
85,Pau Gasol\gasolpa01,2006,2016,TOT,NBA,6
86,Artis Gilmore\gilmoar01,1978,1986,TOT,NBA,6
87,Richie Guerin\gueriri01,1958,1963,NYK,NBA,6
88,James Harden\hardeja01,2013,2018,HOU,NBA,6
89,Tom Heinsohn\heinsto01,1957,1965,BOS,NBA,6
90,Bailey Howell\howelba01,1961,1967,TOT,NBA,6
91,Lou Hudson\hudsolo01,1969,1974,ATL,NBA,6
92,Neil Johnston\johnsne01,1953,1958,PHW,NBA,6
93,Shawn Kemp\kempsh01,1993,1998,TOT,NBA,6
94,Vern Mikkelsen\mikkeve01,1951,1957,MNL,NBA,6
95,Jermaine O'Neal\onealje01,2002,2007,IND,NBA,6
96,Tony Parker\parketo01,2006,2014,SAS,NBA,6
97,Mitch Richmond\richmmi01,1993,1998,SAC,NBA,6
98,Amar'e Stoudemire\stoudam01,2005,2011,TOT,NBA,6
99,Jack Twyman\twymaja01,1957,1963,TOT,NBA,6
100,George Yardley\yardlge01,1955,1960,TOT,NBA,6
101,Chauncey Billups\billuch01,2006,2010,TOT,NBA,5
102,Carl Braun\braunca01,1953,1957,NYK,NBA,5
103,Stephen Curry\curryst01,2014,2018,GSW,NBA,5
104,Brad Daugherty\daughbr01,1988,1993,CLE,NBA,5
105,Anthony Davis\davisan02,2014,2018,NOP,NBA,5
106,Wayne Embry\embrywa01,1961,1965,CIN,NBA,5
107,Paul George\georgpa01,2013,2018,TOT,NBA,5
108,Tom Gola\golato01,1960,1964,TOT,NBA,5
109,Gail Goodrich\goodrga01,1969,1975,TOT,NBA,5
110,Blake Griffin\griffbl01,2011,2015,LAC,NBA,5
111,Cliff Hagan\hagancl01,1958,1962,STL,NBA,5
112,Tim Hardaway\hardati01,1991,1998,TOT,NBA,5
113,Al Horford\horfoal01,2010,2018,TOT,NBA,5
114,Kyrie Irving\irvinky01,2013,2018,TOT,NBA,5
115,Dennis Johnson\johnsde01,1979,1985,TOT,NBA,5
116,Gus Johnson\johnsgu01,1965,1971,BAL,NBA,5
117,Marques Johnson\johnsma01,1979,1986,TOT,NBA,5
118,Sam Jones\jonessa01,1962,1968,BOS,NBA,5
119,Rudy LaRusso\larusru01,1962,1969,TOT,NBA,5
120,Kevin Love\loveke01,2011,2018,TOT,NBA,5
121,Pete Maravich\maravpe01,1973,1979,TOT,NBA,5
122,Bob McAdoo\mcadobo01,1974,1978,TOT,NBA,5
123,Reggie Miller\millere01,1990,2000,IND,NBA,5
124,Sidney Moncrief\moncrsi01,1982,1986,MIL,NBA,5
125,Chris Mullin\mullich01,1989,1993,GSW,NBA,5
126,Don Ohl\ohldo01,1963,1967,TOT,NBA,5
127,Andy Phillip\phillan01,1951,1955,TOT,NBA,5
128,Gene Shue\shuege01,1958,1962,DET,NBA,5
129,Rudy Tomjanovich\tomjaru01,1974,1979,HOU,NBA,5
130,Wes Unseld\unselwe01,1969,1975,TOT,NBA,5
131,John Wall\walljo01,2014,2018,WAS,NBA,5
132,Bobby Wanzer\wanzebo01,1952,1956,ROC,NBA,5
133,Chris Webber\webbech01,1997,2003,TOT,NBA,5
134,Paul Westphal\westppa01,1977,1981,TOT,NBA,5
135,Vin Baker\bakervi01,1995,1998,TOT,NBA,4
136,Walt Bellamy\bellawa01,1962,1965,TOT,NBA,4
137,Otis Birdsong\birdsot01,1979,1984,TOT,NBA,4
138,Rolando Blackman\blackro01,1985,1990,DAL,NBA,4
139,Jimmy Butler\butleji01,2015,2018,TOT,NBA,4
140,Tom Chambers\chambto01,1987,1991,TOT,NBA,4
141,Maurice Cheeks\cheekma01,1983,1988,PHI,NBA,4
142,Doug Collins\collido01,1976,1979,PHI,NBA,4
143,DeMarcus Cousins\couside01,2015,2018,TOT,NBA,4
144,Billy Cunningham\cunnibi01,1969,1972,PHI,NBA,4
145,Bob Dandridge\dandrbo01,1973,1979,TOT,NBA,4
146,Bob Davies\daviebo01,1951,1954,ROC,NBA,4
147,DeMar DeRozan\derozde01,2014,2018,TOR,NBA,4
148,Dick Garmaker\garmadi01,1957,1960,TOT,NBA,4
149,Johnny Green\greenjo01,1962,1971,TOT,NBA,4
150,Anfernee Hardaway\hardaan01,1995,1998,ORL,NBA,4
151,Connie Hawkins\hawkico01,1970,1973,PHO,NBA,4
152,Spencer Haywood\haywosp01,1972,1975,SEA,NBA,4
153,Mel Hutchins\hutchme01,1953,1957,TOT,NBA,4
154,Bobby Jones\jonesbo01,1977,1982,TOT,NBA,4
155,Bernard King\kingbe01,1982,1991,TOT,NBA,4
156,Bill Laimbeer\laimbbi01,1983,1987,DET,NBA,4
157,Clyde Lovellette\lovelcl01,1956,1961,TOT,NBA,4
158,Kyle Lowry\lowryky01,2015,2018,TOR,NBA,4
159,Maurice Lucas\lucasma01,1977,1983,TOT,NBA,4
160,Shawn Marion\mariosh01,2003,2007,PHO,NBA,4
161,George Mikan\mikange01,1951,1954,MNL,NBA,4
162,Paul Millsap\millspa01,2014,2017,ATL,NBA,4
163,Earl Monroe\monroea01,1969,1977,TOT,NBA,4
164,Willie Naulls\naullwi01,1958,1962,NYK,NBA,4
