Rk,Player,From,To,Tm,Lg,Count
1,Robert Parish\parisro01,1977,1997,TOT,NBA,21
2,Kareem Abdul-Jabbar\abdulka01,1970,1989,TOT,NBA,20
3,Karl Malone\malonka01,1986,2004,TOT,NBA,19
4,Moses Malone\malonmo01,1977,1995,TOT,NBA,19
5,Shaquille O'Neal\onealsh01,1993,2011,TOT,NBA,19
6,John Stockton\stockjo01,1985,2003,UTA,NBA,19
7,Reggie Miller\millere01,1988,2005,IND,NBA,18
8,Dikembe Mutombo\mutomdi01,1992,2009,TOT,NBA,18
9,Hakeem Olajuwon\olajuha01,1985,2002,TOT,NBA,18
10,Patrick Ewing\ewingpa01,1986,2002,TOT,NBA,17
11,Gary Payton\paytoga01,1991,2007,TOT,NBA,17
12,Scottie Pippen\pippesc01,1988,2004,TOT,NBA,17
13,Charles Barkley\barklch01,1985,2000,TOT,NBA,16
14,John Havlicek\havlijo01,1963,1978,BOS,NBA,16
15,Elvin Hayes\hayesel01,1969,1984,TOT,NBA,16
16,Chris Mullin\mullich01,1986,2001,TOT,NBA,16
17,Adrian Dantley\dantlad01,1977,1991,TOT,NBA,15
18,Clyde Drexler\drexlcl01,1984,1998,TOT,NBA,15
19,Alex English\englial01,1977,1991,TOT,NBA,15
20,Hal Greer\greerha01,1959,1973,TOT,NBA,15
21,Michael Jordan\jordami01,1985,2003,TOT,NBA,15
22,Tracy McGrady\mcgratr01,1998,2012,TOT,NBA,15
23,Alonzo Mourning\mournal01,1993,2008,TOT,NBA,15
24,Dolph Schayes\schaydo01,1950,1964,TOT,NBA,15
25,Lenny Wilkens\wilkele01,1961,1975,TOT,NBA,15
26,Dominique Wilkins\wilkido01,1983,1999,TOT,NBA,15
27,Elgin Baylor\bayloel01,1959,1972,TOT,NBA,14
28,Walt Bellamy\bellawa01,1962,1975,TOT,NBA,14
29,Wilt Chamberlain\chambwi01,1960,1973,TOT,NBA,14
30,Bob Cousy\cousybo01,1951,1970,TOT,NBA,14
31,Joe Dumars\dumarjo01,1986,1999,DET,NBA,14
32,Gail Goodrich\goodrga01,1966,1979,TOT,NBA,14
33,Allen Iverson\iversal01,1997,2010,TOT,NBA,14
34,Dennis Johnson\johnsde01,1977,1990,TOT,NBA,14
35,Bernard King\kingbe01,1978,1993,TOT,NBA,14
36,Bob Lanier\laniebo01,1971,1984,TOT,NBA,14
37,Bob McAdoo\mcadobo01,1973,1986,TOT,NBA,14
38,Don Nelson\nelsodo01,1963,1976,TOT,NBA,14
39,Mitch Richmond\richmmi01,1989,2002,TOT,NBA,14
40,Oscar Robertson\roberos01,1961,1974,TOT,NBA,14
41,David Robinson\robinda01,1990,2003,SAS,NBA,14
42,Dennis Rodman\rodmade01,1987,2000,TOT,NBA,14
43,Nate Thurmond\thurmna01,1964,1977,TOT,NBA,14
44,Jerry West\westje01,1961,1974,LAL,NBA,14
