Rk,Player,From,To,Tm,Lg,Count
1,Kareem Abdul-Jabbar\abdulka01,1970,1986,TOT,NBA,15
2,Kobe Bryant\bryanko01,1999,2013,LAL,NBA,15
3,Tim Duncan\duncati01,1998,2015,SAS,NBA,15
4,Karl Malone\malonka01,1988,2001,UTA,NBA,14
5,Shaquille O'Neal\onealsh01,1994,2009,TOT,NBA,14
6,LeBron James\jamesle01,2005,2017,TOT,NBA,13
7,Bob Cousy\cousybo01,1952,1963,BOS,NBA,12
8,Dirk Nowitzki\nowitdi01,2001,2012,DAL,NBA,12
9,Hakeem Olajuwon\olajuha01,1986,1999,HOU,NBA,12
10,Dolph Schayes\schaydo01,1950,1961,SYR,NBA,12
11,Jerry West\westje01,1962,1973,LAL,NBA,12
12,Charles Barkley\barklch01,1986,1996,TOT,NBA,11
13,John Havlicek\havlijo01,1964,1976,BOS,NBA,11
14,Michael Jordan\jordami01,1985,1998,CHI,NBA,11
15,Bob Pettit\pettibo01,1955,1965,TOT,NBA,11
16,Oscar Robertson\roberos01,1961,1971,TOT,NBA,11
17,Bill Russell\russebi01,1958,1968,BOS,NBA,11
18,John Stockton\stockjo01,1988,1999,UTA,NBA,11
19,Elgin Baylor\bayloel01,1959,1969,TOT,NBA,10
20,Larry Bird\birdla01,1980,1990,BOS,NBA,10
21,Wilt Chamberlain\chambwi01,1960,1972,TOT,NBA,10
22,Magic Johnson\johnsma02,1982,1991,LAL,NBA,10
23,David Robinson\robinda01,1990,2001,SAS,NBA,10
24,Kevin Garnett\garneke01,1999,2008,TOT,NBA,9
25,Gary Payton\paytoga01,1994,2002,SEA,NBA,9
26,Dwight Howard\howardw01,2007,2014,TOT,NBA,8
27,Moses Malone\malonmo01,1979,1987,TOT,NBA,8
28,Chris Paul\paulch01,2008,2016,TOT,NBA,8
29,Dwyane Wade\wadedw01,2005,2013,MIA,NBA,8
30,Kevin Durant\duranke01,2010,2017,TOT,NBA,7
31,Julius Erving\ervinju01,1977,1984,PHI,NBA,7
32,Patrick Ewing\ewingpa01,1988,1997,NYK,NBA,7
33,George Gervin\gervige01,1977,1983,SAS,NBA,7
34,Hal Greer\greerha01,1963,1969,TOT,NBA,7
35,Allen Iverson\iversal01,1999,2006,PHI,NBA,7
36,Tracy McGrady\mcgratr01,2001,2008,TOT,NBA,7
37,Steve Nash\nashst01,2002,2010,TOT,NBA,7
38,Scottie Pippen\pippesc01,1992,1998,CHI,NBA,7
39,Bill Sharman\sharmbi01,1953,1960,BOS,NBA,7
40,Dominique Wilkins\wilkido01,1986,1994,TOT,NBA,7
41,Carmelo Anthony\anthoca01,2006,2013,TOT,NBA,6
42,Rick Barry\barryri01,1966,1976,TOT,NBA,6
43,Walt Frazier\fraziwa01,1970,1975,NYK,NBA,6
44,Elvin Hayes\hayesel01,1973,1979,TOT,NBA,6
45,Jason Kidd\kiddja01,1999,2004,TOT,NBA,6
46,Russell Westbrook\westbru01,2011,2017,OKC,NBA,6
47,Tiny Archibald\architi01,1972,1981,TOT,NBA,5
48,Clyde Drexler\drexlcl01,1988,1995,TOT,NBA,5
49,Tim Hardaway\hardati01,1992,1999,TOT,NBA,5
50,Grant Hill\hillgr01,1996,2000,DET,NBA,5
51,Kevin Johnson\johnske02,1989,1994,PHO,NBA,5
52,Neil Johnston\johnsne01,1953,1957,PHW,NBA,5
53,Jerry Lucas\lucasje01,1964,1968,CIN,NBA,5
54,Slater Martin\martisl01,1955,1959,TOT,NBA,5
55,George Mikan\mikange01,1950,1954,MNL,NBA,5
