,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
0,2017,NBA,1,1,PHI,Markelle Fultz,19.029,G,us,University of Washington,2018.0,2018.0,14.0,18.1,7.1,3.1,3.8,0.9,0.3,0.405,0.409,0.0,0.47600000000000003,0.2,0.043
1,2017,NBA,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018.0,2018.0,52.0,34.2,10.2,6.9,7.2,1.7,0.8,0.36,0.42,0.305,0.451,2.0,0.053
2,2017,NBA,1,3,BOS,Jayson Tatum,19.116,F,us,Duke University,2018.0,2018.0,80.0,30.5,13.9,5.0,1.6,1.0,0.7,0.475,0.49200000000000005,0.434,0.826,7.1,0.139
3,2017,NBA,1,4,PHO,Josh Jackson,20.137,F-G,us,University of Kansas,2018.0,2018.0,77.0,25.4,13.1,4.6,1.5,1.0,0.5,0.41700000000000004,0.46399999999999997,0.263,0.634,-0.7,-0.018000000000000002
4,2017,NBA,1,5,SAC,De'Aaron Fox,19.189,G,us,University of Kentucky,2018.0,2018.0,73.0,27.8,11.6,2.8,4.4,1.0,0.3,0.41200000000000003,0.436,0.307,0.723,-0.6,-0.013999999999999999
5,2017,NBA,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State University,2018.0,2018.0,27.0,19.9,5.4,3.7,0.7,1.2,1.1,0.379,0.39399999999999996,0.348,0.76,0.2,0.021
6,2017,NBA,1,7,MIN,Lauri Markkanen,20.035999999999998,F-C,fi,University of Arizona,2018.0,2018.0,68.0,29.7,15.2,7.5,1.2,0.6,0.6,0.434,0.49700000000000005,0.36200000000000004,0.843,3.3,0.079
7,2017,NBA,1,8,NYK,Frank Ntilikina,18.334,G,be,,2018.0,2018.0,78.0,21.9,5.9,2.3,3.2,0.8,0.2,0.364,0.385,0.318,0.721,-0.9,-0.026000000000000002
8,2017,NBA,1,9,DAL,Dennis Smith,19.214000000000002,G,us,North Carolina State University,2018.0,2018.0,69.0,29.7,15.2,3.8,5.2,1.0,0.3,0.395,0.436,0.313,0.6940000000000001,-0.7,-0.017
9,2017,NBA,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018.0,2018.0,66.0,15.8,4.4,3.3,0.8,0.3,0.5,0.39799999999999996,0.455,0.31,0.643,0.6,0.03
10,2017,NBA,1,11,CHO,Malik Monk,19.143,G,us,University of Kentucky,2018.0,2018.0,63.0,13.6,6.7,1.0,1.4,0.3,0.1,0.36,0.385,0.342,0.8420000000000001,0.0,0.001
11,2017,NBA,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018.0,2018.0,73.0,20.0,7.6,2.4,1.7,0.6,0.2,0.44299999999999995,0.46299999999999997,0.415,0.855,2.6,0.085
12,2017,NBA,1,13,DEN,Donovan Mitchell,20.293,G,us,University of Louisville,2018.0,2018.0,79.0,33.4,20.5,3.7,3.7,1.5,0.3,0.43700000000000006,0.502,0.34,0.805,5.2,0.095
13,2017,NBA,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018.0,2018.0,69.0,19.8,6.9,5.5,1.5,0.5,0.6,0.512,0.523,0.0,0.721,4.2,0.14800000000000002
14,2017,NBA,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018.0,2018.0,68.0,22.1,6.7,2.8,1.1,0.4,0.2,0.442,0.547,0.308,0.722,1.0,0.031
15,2017,NBA,1,16,CHI,Justin Patton,20.012999999999998,C,us,Creighton University,2018.0,2018.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.5,0.5,,,0.0,0.151
16,2017,NBA,1,17,MIL,D.J. Wilson,21.129,F,us,University of Michigan,2018.0,2018.0,22.0,3.2,1.0,0.5,0.1,0.1,0.0,0.563,0.636,0.4,0.5,0.1,0.054000000000000006
17,2017,NBA,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018.0,2018.0,53.0,8.7,2.9,1.5,0.2,0.1,0.1,0.47100000000000003,0.489,0.429,0.625,0.8,0.08199999999999999
18,2017,NBA,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018.0,2018.0,74.0,24.1,10.5,7.3,1.3,0.6,1.1,0.5760000000000001,0.598,0.34,0.715,5.4,0.145
19,2017,NBA,1,20,POR,Harry Giles,19.066,F-C,us,Duke University,,,,,,,,,,,,,,,
22,2017,NBA,1,21,OKC,Terrance Ferguson,19.041,G-F,us,,2018.0,2018.0,61.0,12.5,3.1,0.8,0.3,0.4,0.2,0.414,0.612,0.33299999999999996,0.9,1.2,0.077
23,2017,NBA,1,22,BRK,Jarrett Allen,19.067,F-C,us,University of Texas at Austin,2018.0,2018.0,72.0,20.0,8.2,5.4,0.7,0.4,1.2,0.589,0.599,0.33299999999999996,0.7759999999999999,4.2,0.141
24,2017,NBA,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana University,2018.0,2018.0,74.0,20.0,5.9,2.5,0.7,0.7,0.2,0.47100000000000003,0.604,0.371,0.629,3.0,0.098
25,2017,NBA,1,24,UTA,Tyler Lydon,21.079,F,us,Syracuse University,2018.0,2018.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-0.013999999999999999
26,2017,NBA,1,25,ORL,Anzejs Pasecniks,21.19,C,lv,,,,,,,,,,,,,,,,
27,2017,NBA,1,26,POR,Caleb Swanigan,20.07,F,us,Purdue University,2018.0,2018.0,27.0,7.0,2.3,2.0,0.5,0.2,0.1,0.4,0.442,0.125,0.667,0.0,-0.003
28,2017,NBA,1,27,BRK,Kyle Kuzma,21.339000000000002,F,us,University of Utah,2018.0,2018.0,77.0,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.511,0.366,0.7070000000000001,3.8,0.077
29,2017,NBA,1,28,LAL,Tony Bradley,19.17,F-C,us,University of North Carolina,2018.0,2018.0,9.0,3.2,0.9,1.2,0.1,0.0,0.0,0.273,0.3,0.0,1.0,0.0,0.033
